职位名称,公司名,薪资,城市,基本要求,福利待遇
高级C++软件开发工程师,苏州博沃创新能源科技有限公司,20-30k·14薪,上海-嘉定区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 绩效奖金 | 五险一金 | 交通补助 | 通讯津贴 | 领导好 | 发展空间大 | 弹性工作 | 带薪年假
中高级C++软件工程师,北京中航通用科技有限公司,15-30k·14薪,北京-海淀区,统招本科 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 全勤奖 | 五险一金 | 住房补贴 | 生育补贴 | 发展空间大 | 扁平管理 | 弹性工作 | 节日礼物 | 定期体检
初级C++软件工程师,北京中航通用科技有限公司,6-11k·14薪,北京-海淀区,统招本科 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 全勤奖 | 五险一金 | 住房补贴 | 生育补贴 | 发展空间大 | 扁平管理 | 弹性工作 | 节日礼物 | 定期体检
c++,武汉中海庭数据技术有限公司,22-44k·16薪,上海-中原,本科及以上 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 发展空间大 | 带薪年假 | 年度旅游 | 子女福利 | 定期体检
初中级C++开发工程师,杭州衡泰软件有限公司,10-20k·14薪,杭州-西溪,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 餐费补贴 | 领导好 | 发展空间大 | 扁平管理 | 岗位晋升 | 带薪年假 | 定期体检
资深C++开发工程师,上海亿锦网络科技有限公司,20-45k·16薪,上海-虹口区,统招本科 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 餐费补贴 | 加班补贴 | 带薪年假 | 年度旅游 | 休闲餐点 | 节日礼物 | 定期体检
高级C/C++软件开发工程师,金信诺,15-30k,长沙-伍家岭,本科及以上 | 经验不限 | 语言不限 | 年龄不限,上市公司 | 5G产业链 | 领导好 | 技能培训 | 岗位晋升 | 发展空间大
金融实时系统开发工程师（C++）,粤港澳大湾区数字经济研究院(福田),20-40k·15薪,深圳,统招本科 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 住房补贴 | 餐费补贴 | 领导好 | 发展空间大 | 扁平管理 | 弹性工作 | 定期体检
c++开发工程师,粤港澳大湾区数字经济研究院(福田),25-40k·15薪,深圳,统招本科 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 住房补贴 | 餐费补贴 | 领导好 | 发展空间大 | 扁平管理 | 弹性工作 | 定期体检
C++游戏开发工程师,腾讯无线大连研发中心,13-20k,大连-甘井子区,大专及以上 | 1-3年 | 语言不限 | 年龄不限,弹性工作 | 节日礼物
c++开发工程师,中睿合和物联网技术(西安)有限公司,10-15k,西安,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 交通补助 | 通讯津贴 | 餐费补贴 | 年度旅游
c++开发工程师,西安希德电子,10-15k,西安,大专及以上 | 1-3年 | 语言不限 | 年龄不限,上市公司 | 绩效奖金 | 五险一金 | 交通补助 | 餐费补贴 | 发展空间大 | 技能培训 | 岗位晋升 | 带薪年假 | 节日礼物 | 定期体检
C语言/C++/C#开发工程师温州应届生,浙江精通自动控制技术有限公司,6-8k·13薪,温州,统招本科 | 经验不限 | 语言不限 | 年龄不限,全勤奖 | 节日礼物 | 带薪年假 | 午餐补助 | 年底双薪 | 年度旅游 | 五险一金
c++软件工程师,深圳精智达技术股份有限公司,10-20k,深圳-龙华区,大专及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 提供住宿 | 餐费补贴 | 发展空间大 | 岗位晋升 | 带薪年假 | 节日礼物 | 定期体检
c++软件工程师,南京磐优信息科技有限公司,18-35k·14薪,南京-浦口区,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 交通补助 | 发展空间大 | 优秀员工奖 | 定期体检
C++,旷视科技,15-30k·15薪,成都-武侯区,统招本科 | 3-5年 | 语言不限 | 年龄不限,独角兽 | 2018全球人工智能百强 | 国家高新技术企业认定 | 2018中国创新成长百强 | AI创新成长50强  | 2019人工智能100强 | 互联网300强 | 阿里投资 | 年终奖金 | 五险一金 | 餐费补贴 | 发展空间大 | 弹性工作 | 带薪年假
C++/QT上位机软件开发工程师,井松智能,15-20k,合肥-新站区,本科及以上 | 1-3年 | 语言不限 | 年龄不限,扁平管理 | 技能培训 | 绩效奖金 | 年底双薪 | 带薪年假 | 领导好 | 午餐补助 | 弹性工作
C++,井松智能,18-25k,杭州-余杭区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,扁平管理 | 技能培训 | 绩效奖金 | 年底双薪 | 带薪年假 | 领导好 | 午餐补助 | 弹性工作
C#-C++软件工程师,苏映视,10-20k·14薪,苏州-工业园区,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 绩效奖金 | 五险一金 | 交通补助 | 餐费补贴 | 弹性工作 | 定期体检
C/C++工程师,浙江沐恩网络科技有限公司,7-12k,绍兴-上虞区,统招本科 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 加班补贴 | 发展空间大 | 岗位晋升 | 团队聚餐 | 休闲餐点 | 节日礼物
c++软件工程师,量投网络科技,25-35k·15薪,上海-浦东新区,统招本科 | 3-5年 | 语言不限 | 年龄不限,发展空间大 | 公司规模大 | 管理规范 | 技能培训 | 带薪年假 | 六险一金
C++研发工程师,嬴彻科技,25-50k·15薪,上海-杨浦区,本科及以上 | 经验不限 | 语言不限 | 年龄不限,带薪年假 | 通讯津贴 | 午餐补助 | 定期体检 | 弹性工作 | 扁平管理 | 五险一金 | 休闲餐点 | 领导好 | 发展空间大
高级开发工程师（C++）,滴普科技,25-35k,北京-海淀区,统招本科 | 3-5年 | 语言不限 | 年龄不限,扁平管理 | 弹性工作 | 定期体检
C/C++开发工程师,环信,18-25k·13薪,北京-北下关,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年底双薪 | 带薪年假 | 弹性工作 | 五险一金
C++/QT 开发工程师,安威士,8-12k,上海,大专及以上 | 3-5年 | 语言不限 | 年龄不限,上市公司 | 年终奖金 | 绩效奖金 | 领导好 | 发展空间大 | 技能培训 | 岗位晋升
C++研发工程师,亮风台(上海)信息科技有限公司,15-22k·13薪,上海-张江,本科及以上 | 3-5年 | 语言不限 | 年龄不限,2019人工智能100强 | 创新企业100强 | 领导好 | 发展空间大 | 技能培训 | 岗位晋升 | 大集成项目
研发工程师（Linux C/C++/QT）,中电(海南)联合创新研究院有限公司,8-20k,,硕士及以上 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 免费班车 | 住房补贴 | 扁平管理 | 技能培训 | 岗位晋升 | 团队聚餐 | 节日礼物 | 定期体检
C++游戏服务器开发,网易集团,20-40k·15薪,上海,大专及以上 | 经验不限 | 语言不限 | 20-50岁,上市公司 | 2019年中国互联网企业100强 | 中国500强
c++开发工程师,上海砥学信息科技有限公司,11-20k,上海-松江区,本科及以上 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 全勤奖 | 五险一金 | 领导好 | 发展空间大 | 岗位晋升 | 休闲餐点
Android平台C++开发工程师,旷视科技,15-30k·14薪,成都-武侯区,统招本科 | 3-5年 | 语言不限 | 年龄不限,独角兽 | 2018全球人工智能百强 | 国家高新技术企业认定 | 2018中国创新成长百强 | AI创新成长50强  | 2019人工智能100强 | 互联网300强 | 阿里投资 | 年终奖金 | 五险一金 | 餐费补贴 | 发展空间大 | 弹性工作 | 带薪年假
c++软件工程师,杭州子默网络科技有限公司,20-35k·13薪,杭州-西溪,本科及以上 | 5-10年 | 语言不限 | 年龄不限,带薪年假 | 年度旅游 | 节日礼物 | 五险一金 | 团队聚餐 | 领导好 | 发展空间大
C++开发工程师-核心策略,中科视语(北京)科技有限公司,15-30k·13薪,北京-五道口,本科及以上 | 经验不限 | 语言不限 | 年龄不限,年底双薪 | 弹性工作 | 带薪年假 | 扁平管理 | 领导好 | 五险一金 | 发展空间大
